Time (UTCG),Percent Coverage,Percent Accum Coverage
10 Oct 2024 07:00:00.000000000,0.0,0.0
10 Oct 2024 07:00:30.000000000,0.36570712868558003,0.36570712868558003
10 Oct 2024 07:01:00.000000000,2.9173931387543717,2.9173931387543717
10 Oct 2024 07:01:30.000000000,6.036544258958272,6.036544258958272
10 Oct 2024 07:02:00.000000000,8.677606765000968,8.677606765000968
10 Oct 2024 07:02:30.000000000,10.607737993229975,10.607737993229975
10 Oct 2024 07:03:00.000000000,10.301209800789591,12.161464432369174
10 Oct 2024 07:03:30.000000000,8.614225169534517,14.247860240880016
10 Oct 2024 07:04:00.000000000,8.437385517991354,17.53334216026383
10 Oct 2024 07:04:30.000000000,9.066090667429478,20.890276458315018
10 Oct 2024 07:05:00.000000000,10.166821980930907,23.880771457703034
10 Oct 2024 07:05:30.000000000,11.670125308889485,26.551635122833577
10 Oct 2024 07:06:00.000000000,10.719875701386682,28.452277685457165
10 Oct 2024 07:06:30.000000000,9.145014924334337,29.906565909366456
10 Oct 2024 07:07:00.000000000,6.607515245700484,30.58322004397895
10 Oct 2024 07:07:30.000000000,3.4290073327229775,30.810644587673185
10 Oct 2024 07:08:00.000000000,1.1032547167761264,30.810644587673185
10 Oct 2024 07:08:30.000000000,0.0,30.810644587673185
10 Oct 2024 07:09:00.000000000,0.0,30.810644587673185
10 Oct 2024 07:09:30.000000000,0.0,30.810644587673185
10 Oct 2024 07:10:00.000000000,0.0,30.810644587673185
10 Oct 2024 07:10:30.000000000,0.0,30.810644587673185
10 Oct 2024 07:11:00.000000000,0.0,30.810644587673185
10 Oct 2024 07:11:30.000000000,0.0,30.810644587673185
10 Oct 2024 07:12:00.000000000,0.0,30.810644587673185
10 Oct 2024 07:12:30.000000000,0.0,30.810644587673185
10 Oct 2024 07:13:00.000000000,0.0,30.810644587673185
10 Oct 2024 07:13:30.000000000,0.0,30.810644587673185
10 Oct 2024 07:14:00.000000000,1.449397590718,30.810644587673185
10 Oct 2024 07:14:30.000000000,3.726266409655103,30.810644587673185
10 Oct 2024 07:15:00.000000000,6.360538243454263,30.810644587673185
10 Oct 2024 07:15:30.000000000,7.914374493759816,30.810644587673185
10 Oct 2024 07:16:00.000000000,7.744211521749644,30.810644587673185
10 Oct 2024 07:16:30.000000000,6.0073467774693095,30.810644587673185
10 Oct 2024 07:17:00.000000000,5.306021745386265,30.810644587673185
10 Oct 2024 07:17:30.000000000,5.973407327390034,30.810644587673185
10 Oct 2024 07:18:00.000000000,7.894763346803735,30.810644587673185
10 Oct 2024 07:18:30.000000000,9.731785759410815,30.810644587673185
10 Oct 2024 07:19:00.000000000,9.700783797995774,30.810644587673185
10 Oct 2024 07:19:30.000000000,8.680279416243254,30.810644587673185
10 Oct 2024 07:20:00.000000000,6.815106252707184,30.810644587673185
10 Oct 2024 07:20:30.000000000,3.967769359062924,30.810644587673185
10 Oct 2024 07:21:00.000000000,1.4359370727896197,30.810644587673185
10 Oct 2024 07:21:30.000000000,0.10947496941993567,30.810644587673185
10 Oct 2024 07:22:00.000000000,0.0,30.810644587673185
10 Oct 2024 07:22:30.000000000,0.0,30.810644587673185
10 Oct 2024 07:23:00.000000000,0.0,30.810644587673185
10 Oct 2024 07:23:30.000000000,0.0,30.810644587673185
10 Oct 2024 07:24:00.000000000,0.0,30.810644587673185
10 Oct 2024 07:24:30.000000000,0.0,30.810644587673185
10 Oct 2024 07:25:00.000000000,0.0,30.810644587673185
10 Oct 2024 07:25:30.000000000,0.0,30.810644587673185
10 Oct 2024 07:26:00.000000000,0.0,30.810644587673185
10 Oct 2024 07:26:30.000000000,0.0,30.810644587673185
10 Oct 2024 07:27:00.000000000,0.3616909660765876,30.810644587673185
10 Oct 2024 07:27:30.000000000,1.8002918706720508,30.810644587673185
10 Oct 2024 07:28:00.000000000,3.9377014317027883,30.810644587673185
10 Oct 2024 07:28:30.000000000,5.479217147337647,30.810644587673185
10 Oct 2024 07:29:00.000000000,5.215269627583015,30.810644587673185
10 Oct 2024 07:29:30.000000000,4.112521638902714,30.810644587673185
10 Oct 2024 07:30:00.000000000,3.3360755179422497,30.810644587673185
10 Oct 2024 07:30:30.000000000,3.6844954982753406,30.810644587673185
10 Oct 2024 07:31:00.000000000,6.092750820865196,30.810644587673185
10 Oct 2024 07:31:30.000000000,8.615889840715143,30.810644587673185
10 Oct 2024 07:32:00.000000000,8.458474635080705,30.810644587673185
10 Oct 2024 07:32:30.000000000,8.120152637270497,30.810644587673185
10 Oct 2024 07:33:00.000000000,6.910387327236299,30.810644587673185
10 Oct 2024 07:33:30.000000000,4.279106841708635,30.810644587673185
10 Oct 2024 07:34:00.000000000,1.990374312443528,30.810644587673185
10 Oct 2024 07:34:30.000000000,0.5487874588651119,30.810644587673185
10 Oct 2024 07:35:00.000000000,0.0,30.810644587673185
10 Oct 2024 07:35:30.000000000,0.0,30.810644587673185
