Point Number,Latitude (deg),Longitude (deg),Revisit Time (sec)
254,40.859653708389004,68.51851851851852,16194.195460848918
20,41.40964980516677,55.925925925925924,16181.345932937635
255,41.40964980516677,67.03703703703702,16181.795949254476
201,41.40964980516677,67.77777777777777,16181.150453531067
256,41.40964980516677,68.51851851851852,16181.052377630549
21,41.95964590194455,55.185185185185176,16168.849394396355
22,41.95964590194455,55.925925925925924,16168.191378373827
257,41.95964590194455,67.03703703703702,16167.83637927007
258,41.95964590194455,67.77777777777777,16169.251882817596
259,41.95964590194455,68.51851851851852,16169.10708928405
260,41.95964590194455,69.25925925925925,16167.958513779216
261,41.95964590194455,70.0,16168.124605190824
23,42.50964199872232,52.962962962962955,16155.33023325412
24,42.50964199872232,53.7037037037037,16157.197782955656
25,42.50964199872232,54.444444444444436,16157.72854742111
26,42.50964199872232,55.185185185185176,16155.4966593321
27,42.50964199872232,55.925925925925924,16157.690111213305
262,42.50964199872232,66.29629629629629,16157.779271339241
263,42.50964199872232,67.03703703703702,16157.145763673936
264,42.50964199872232,67.77777777777777,16155.9978201122
265,42.50964199872232,68.51851851851852,16155.21917047794
266,42.50964199872232,69.25925925925925,16157.330545061617
267,42.50964199872232,70.0,16157.591127959779
268,42.50964199872232,70.74074074074075,16155.019733251887
269,42.50964199872232,79.62962962962963,16157.424091742025
2,43.0596380955001,52.222222222222214,16147.583045322652
28,43.0596380955001,52.962962962962955,16146.633300091198
29,43.0596380955001,53.7037037037037,16148.052253689122
3,43.0596380955001,54.444444444444436,16148.366937013867
30,43.0596380955001,55.185185185185176,16146.91247600026
31,43.0596380955001,55.925925925925924,16147.289105793025
270,43.0596380955001,66.29629629629629,16148.271290321834
271,43.0596380955001,67.03703703703702,16144.047867241607
202,43.0596380955001,67.77777777777777,16147.792019536224
272,43.0596380955001,68.51851851851852,16147.49181151914
273,43.0596380955001,69.25925925925925,16147.837999635929
193,43.0596380955001,70.0,16144.578914200189
274,43.0596380955001,70.74074074074075,16147.11098681792
275,43.0596380955001,71.48148148148147,16148.194119056512
203,43.0596380955001,72.22222222222221,16143.99220946728
276,43.0596380955001,72.96296296296296,16147.864575041225
277,43.0596380955001,75.18518518518519,16147.511122288415
278,43.0596380955001,75.92592592592592,16147.178740759417
194,43.0596380955001,76.66666666666666,16148.129162178608
279,43.0596380955001,77.4074074074074,16143.937337867974
280,43.0596380955001,78.14814814814814,16147.93253567825
204,43.0596380955001,78.88888888888889,16147.359344921308
281,43.0596380955001,79.62962962962963,16144.374674569524
749,43.0596380955001,80.37037037037037,16147.584152081981
32,43.609634192277866,51.481481481481474,16140.40805461898
33,43.609634192277866,52.222222222222214,16144.008725159103
34,43.609634192277866,52.962962962962955,16148.2272991598
35,43.609634192277866,53.7037037037037,16142.691200256799
36,43.609634192277866,54.444444444444436,16141.945489993494
37,43.609634192277866,55.185185185185176,16146.594797017053
38,43.609634192277866,55.925925925925924,16145.004542705967
282,43.609634192277866,61.85185185185185,16140.116230839514
283,43.609634192277866,62.59259259259258,16143.599014830601
284,43.609634192277866,64.07407407407408,16140.442867529171
285,43.609634192277866,65.55555555555556,16147.031365432777
286,43.609634192277866,66.29629629629629,16145.52747240712
287,43.609634192277866,67.03703703703702,16139.98863332771
288,43.609634192277866,67.77777777777777,16143.387363821093
289,43.609634192277866,68.51851851851852,16144.295781109366
290,43.609634192277866,69.25925925925925,16140.576563286188
