Time (UTCG),Percent Coverage,Percent Accum Coverage
10 Oct 2024 07:00:00.000000000,17.907452988808384,17.907452988808384
10 Oct 2024 07:00:30.000000000,11.283974471940565,18.185145619366633
10 Oct 2024 07:01:00.000000000,4.932598212273488,18.185145619366633
10 Oct 2024 07:01:30.000000000,0.27170275372993385,18.185145619366633
10 Oct 2024 07:02:00.000000000,0.0,18.185145619366633
10 Oct 2024 07:02:30.000000000,0.0,18.185145619366633
10 Oct 2024 07:03:00.000000000,0.0,18.185145619366633
10 Oct 2024 07:03:30.000000000,0.0,18.185145619366633
10 Oct 2024 07:04:00.000000000,0.0,18.185145619366633
10 Oct 2024 07:04:30.000000000,0.0,18.185145619366633
10 Oct 2024 07:05:00.000000000,0.0,18.185145619366633
10 Oct 2024 07:05:30.000000000,0.0,18.185145619366633
10 Oct 2024 07:06:00.000000000,0.0,18.185145619366633
10 Oct 2024 07:06:30.000000000,0.0,18.185145619366633
10 Oct 2024 07:07:00.000000000,0.0,18.185145619366633
10 Oct 2024 07:07:30.000000000,0.0,18.185145619366633
10 Oct 2024 07:08:00.000000000,0.0,18.185145619366633
10 Oct 2024 07:08:30.000000000,0.9535978368928313,19.138743456259466
10 Oct 2024 07:09:00.000000000,4.657037694055934,22.842183313422577
10 Oct 2024 07:09:30.000000000,9.611052048175845,27.796197667542483
10 Oct 2024 07:10:00.000000000,14.181495521189266,32.58415872176914
10 Oct 2024 07:10:30.000000000,18.542953156218754,36.41652754470349
10 Oct 2024 07:11:00.000000000,22.505165304927704,39.31650902133525
10 Oct 2024 07:11:30.000000000,24.33156030551321,41.06525365474127
10 Oct 2024 07:12:00.000000000,21.971321387381682,42.330095521776784
10 Oct 2024 07:12:30.000000000,16.423590553157972,43.3801706834829
10 Oct 2024 07:13:00.000000000,10.523073309414336,44.464647893799956
10 Oct 2024 07:13:30.000000000,3.7209400037745213,44.73518970308574
10 Oct 2024 07:14:00.000000000,0.8188262409902035,44.73518970308574
