Time (UTCG),Percent Coverage,Percent Accum Coverage
10 Oct 2024 07:00:00.000000000,11.500834150362419,11.500834150362419
10 Oct 2024 07:00:30.000000000,7.35493808472965,12.049118582066846
10 Oct 2024 07:01:00.000000000,4.671044261020877,12.049118582066846
10 Oct 2024 07:01:30.000000000,1.7578300802113207,12.049118582066846
10 Oct 2024 07:02:00.000000000,0.0,12.049118582066846
10 Oct 2024 07:02:30.000000000,0.0,12.049118582066846
10 Oct 2024 07:03:00.000000000,0.0,12.049118582066846
10 Oct 2024 07:03:30.000000000,0.0,12.049118582066846
10 Oct 2024 07:04:00.000000000,0.0,12.049118582066846
10 Oct 2024 07:04:30.000000000,0.0,12.049118582066846
10 Oct 2024 07:05:00.000000000,0.0,12.049118582066846
10 Oct 2024 07:05:30.000000000,0.0,12.049118582066846
10 Oct 2024 07:06:00.000000000,0.0,12.049118582066846
10 Oct 2024 07:06:30.000000000,0.0,12.049118582066846
10 Oct 2024 07:07:00.000000000,0.0,12.049118582066846
10 Oct 2024 07:07:30.000000000,0.0,12.049118582066846
10 Oct 2024 07:08:00.000000000,0.0,12.049118582066846
10 Oct 2024 07:08:30.000000000,0.0,12.049118582066846
10 Oct 2024 07:09:00.000000000,0.0,12.049118582066846
10 Oct 2024 07:09:30.000000000,0.0,12.049118582066846
10 Oct 2024 07:10:00.000000000,0.4659334948420099,12.515052076908857
10 Oct 2024 07:10:30.000000000,3.7955415343410657,15.117240057701137
10 Oct 2024 07:11:00.000000000,6.481105538299231,15.710585726612837
10 Oct 2024 07:11:30.000000000,7.485592486154641,15.710585726612837
10 Oct 2024 07:12:00.000000000,7.217856115194985,15.710585726612837
10 Oct 2024 07:12:30.000000000,5.635789959065202,15.710585726612837
10 Oct 2024 07:13:00.000000000,2.7353683277924574,15.710585726612837
10 Oct 2024 07:13:30.000000000,1.2009134682002454,15.710585726612837
10 Oct 2024 07:14:00.000000000,0.0,15.710585726612837
10 Oct 2024 07:14:30.000000000,0.0,15.710585726612837
10 Oct 2024 07:15:00.000000000,0.0,15.710585726612837
10 Oct 2024 07:15:30.000000000,0.0,15.710585726612837
10 Oct 2024 07:16:00.000000000,0.0,15.710585726612837
10 Oct 2024 07:16:30.000000000,0.0,15.710585726612837
10 Oct 2024 07:17:00.000000000,0.0,15.710585726612837
10 Oct 2024 07:17:30.000000000,0.0,15.710585726612837
10 Oct 2024 07:18:00.000000000,0.0,15.710585726612837
10 Oct 2024 07:18:30.000000000,0.0,15.710585726612837
10 Oct 2024 07:19:00.000000000,0.0,15.710585726612837
10 Oct 2024 07:19:30.000000000,0.0,15.710585726612837
10 Oct 2024 07:20:00.000000000,0.0,15.710585726612837
10 Oct 2024 07:20:30.000000000,0.0,15.710585726612837
10 Oct 2024 07:21:00.000000000,0.0,15.710585726612837
10 Oct 2024 07:21:30.000000000,0.0,15.710585726612837
10 Oct 2024 07:22:00.000000000,0.0,15.710585726612837
10 Oct 2024 07:22:30.000000000,0.0,15.710585726612837
10 Oct 2024 07:23:00.000000000,0.35356076089240307,15.710585726612837
10 Oct 2024 07:23:30.000000000,2.0346350183901256,15.710585726612837
10 Oct 2024 07:24:00.000000000,3.013800237806954,15.710585726612837
10 Oct 2024 07:24:30.000000000,2.9253915688276,15.710585726612837
10 Oct 2024 07:25:00.000000000,1.7211338119502109,15.710585726612837
10 Oct 2024 07:25:30.000000000,0.0,15.710585726612837
