Point Number,Latitude (deg),Longitude (deg),Revisit Time (sec)
254,40.859653708389004,68.51851851851852,22994.82213052851
20,41.40964980516677,55.925925925925924,22208.020918587223
255,41.40964980516677,67.03703703703702,22208.00599215657
201,41.40964980516677,67.77777777777777,22208.14806277759
256,41.40964980516677,68.51851851851852,22208.295599113335
21,41.95964590194455,55.185185185185176,21433.829155490675
22,41.95964590194455,55.925925925925924,21432.948340529867
257,41.95964590194455,67.03703703703702,21432.86708895152
258,41.95964590194455,67.77777777777777,21433.738223287568
259,41.95964590194455,68.51851851851852,21431.15000301518
260,41.95964590194455,69.25925925925925,21433.19584830338
261,41.95964590194455,70.0,21433.163689356472
23,42.50964199872232,52.962962962962955,21388.754880673194
24,42.50964199872232,53.7037037037037,21388.768814983603
25,42.50964199872232,54.444444444444436,21388.70780932688
26,42.50964199872232,55.185185185185176,21388.716241936927
27,42.50964199872232,55.925925925925924,21388.77836864363
262,42.50964199872232,66.29629629629629,21388.74076771777
263,42.50964199872232,67.03703703703702,21388.57744659818
264,42.50964199872232,67.77777777777777,21388.72857075627
265,42.50964199872232,68.51851851851852,21388.696162889188
266,42.50964199872232,69.25925925925925,21388.75734656927
267,42.50964199872232,70.0,21388.559760461358
268,42.50964199872232,70.74074074074075,21388.702915375354
269,42.50964199872232,79.62962962962963,21388.463174865785
2,43.0596380955001,52.222222222222214,20601.83812999702
28,43.0596380955001,52.962962962962955,20602.0291992969
29,43.0596380955001,53.7037037037037,20601.073899531155
3,43.0596380955001,54.444444444444436,20601.71685422701
30,43.0596380955001,55.185185185185176,20601.907291220617
31,43.0596380955001,55.925925925925924,20602.10250911303
270,43.0596380955001,66.29629629629629,20601.610008336076
271,43.0596380955001,67.03703703703702,20601.163724832557
202,43.0596380955001,67.77777777777777,20601.924866663874
272,43.0596380955001,68.51851851851852,20601.732269623753
273,43.0596380955001,69.25925925925925,20601.546447124783
193,43.0596380955001,70.0,20602.04911689012
274,43.0596380955001,70.74074074074075,20601.853518351825
275,43.0596380955001,71.48148148148147,20601.66489984299
203,43.0596380955001,72.22222222222221,20601.482933831634
276,43.0596380955001,72.96296296296296,20601.98558286793
277,43.0596380955001,75.18518518518519,20602.118216355855
278,43.0596380955001,75.92592592592592,20601.919776563358
194,43.0596380955001,76.66666666666666,20601.727577535086
279,43.0596380955001,77.4074074074074,20601.706566167617
280,43.0596380955001,78.14814814814814,20602.042492835433
204,43.0596380955001,78.88888888888889,20601.846446742537
281,43.0596380955001,79.62962962962963,20601.65727499302
749,43.0596380955001,80.37037037037037,20601.773687916473
32,43.609634192277866,51.481481481481474,19826.447237036482
33,43.609634192277866,52.222222222222214,19825.21375754918
34,43.609634192277866,52.962962962962955,19824.155543877656
35,43.609634192277866,53.7037037037037,19827.371484009724
36,43.609634192277866,54.444444444444436,19825.97908535553
37,43.609634192277866,55.185185185185176,19824.817931483907
38,43.609634192277866,55.925925925925924,19823.81153880409
282,43.609634192277866,61.85185185185185,19824.020860536373
283,43.609634192277866,62.59259259259258,19825.058519745216
284,43.609634192277866,64.07407407407408,19827.719859464458
285,43.609634192277866,65.55555555555556,19825.45440485506
286,43.609634192277866,66.29629629629629,19826.73036921749
287,43.609634192277866,67.03703703703702,19823.715193507902
288,43.609634192277866,67.77777777777777,19824.710140652605
289,43.609634192277866,68.51851851851852,19825.85498891826
290,43.609634192277866,69.25925925925925,19827.220274988766
291,43.609634192277866,70.0,19824.051292281947
292,43.609634192277866,70.74074074074075,19825.093689598958
293,43.609634192277866,71.48148148148147,19826.30538229033
294,43.609634192277866,72.22222222222221,19827.777141214552
295,43.609634192277866,72.96296296296296,19824.40473523538
296,43.609634192277866,73.7037037037037,19825.498015254387
297,43.609634192277866,74.44444444444444,19826.783621320094
298,43.609634192277866,75.18518518518519,19820.63809360459
299,43.609634192277866,75.92592592592592,19824.74623049004
300,43.609634192277866,76.66666666666666,19827.461558858507
301,43.609634192277866,77.4074074074074,19827.267625883047
302,43.609634192277866,78.14814814814814,19820.424867208174
303,43.609634192277866,78.88888888888889,19825.129871637328
304,43.609634192277866,79.62962962962963,19826.937985225726
750,43.609634192277866,80.37037037037037,19827.830015496176
39,44.15963028905565,51.481481481481474,19777.737427277956
40,44.15963028905565,52.222222222222214,19777.78431354894
41,44.15963028905565,52.962962962962955,19777.830113171425
42,44.15963028905565,53.7037037037037,19777.636502612906
43,44.15963028905565,54.444444444444436,19777.72638853418
44,44.15963028905565,55.185185185185176,19777.803598726983
45,44.15963028905565,55.925925925925924,19777.848070245993
305,44.15963028905565,61.85185185185185,19777.83627862262
306,44.15963028905565,62.59259259259258,19777.69090285887
307,44.15963028905565,63.33333333333333,19777.610183917102
308,44.15963028905565,64.07407407407408,19777.65674646676
309,44.15963028905565,64.81481481481481,19777.819965550283
310,44.15963028905565,65.55555555555556,19777.702143556453
311,44.15963028905565,66.29629629629629,19777.618380641972
312,44.15963028905565,67.03703703703702,19777.851489770925
313,44.15963028905565,67.77777777777777,19777.808807837122
314,44.15963028905565,68.51851851851852,19777.766461376494
315,44.15963028905565,69.25925925925925,19777.754281235437
316,44.15963028905565,70.0,19777.835890065355
317,44.15963028905565,70.74074074074075,19777.793692729552
318,44.15963028905565,71.48148148148147,19777.752423438928
319,44.15963028905565,72.22222222222221,19777.76791552428
320,44.15963028905565,72.96296296296296,19777.816958586074
321,44.15963028905565,73.7037037037037,19777.777050745382
322,44.15963028905565,74.44444444444444,19777.73997831522
323,44.15963028905565,75.18518518518519,19777.849532574997
324,44.15963028905565,75.92592592592592,19777.80745306355
325,44.15963028905565,76.66666666666666,19777.765843795234
326,44.15963028905565,77.4074074074074,19777.756291356665
327,44.15963028905565,78.14814814814814,19777.835539979744
328,44.15963028905565,78.88888888888889,19777.84355314035
329,44.15963028905565,79.62962962962963,19777.752217817644
46,44.709626385833424,51.481481481481474,18986.667613590136
4,44.709626385833424,52.222222222222214,18986.774276398588
47,44.709626385833424,52.962962962962955,18986.884645151964
48,44.709626385833424,53.7037037037037,18986.90201694376
5,44.709626385833424,54.444444444444436,18986.697608420043
49,44.709626385833424,55.185185185185176,18986.80564361828
50,44.709626385833424,55.925925925925924,18986.402987806476
330,44.709626385833424,60.37037037037036,18986.777843861957
205,44.709626385833424,61.11111111111111,18986.889170513663
331,44.709626385833424,61.85185185185185,18986.899116255634
332,44.709626385833424,62.59259259259258,18986.78736071907
206,44.709626385833424,63.33333333333333,18986.679349521917
333,44.709626385833424,64.07407407407408,18986.361552147166
334,44.709626385833424,64.81481481481481,18986.860253356834
207,44.709626385833424,65.55555555555556,18986.749413980695
335,44.709626385833424,66.29629629629629,18986.642935497708
336,44.709626385833424,67.03703703703702,18986.393414388585
208,44.709626385833424,67.77777777777777,18986.817502555205
337,44.709626385833424,68.51851851851852,18986.7097154331
338,44.709626385833424,69.25925925925925,18986.60623618812
209,44.709626385833424,70.0,18986.894846291747
339,44.709626385833424,70.74074074074075,18986.783847434097
340,44.709626385833424,71.48148148148147,18986.676737523463
210,44.709626385833424,72.22222222222221,18986.573324506462
341,44.709626385833424,72.96296296296296,18986.857875647023
342,44.709626385833424,73.7037037037037,18986.747369435325
211,44.709626385833424,74.44444444444444,18986.659650346217
343,44.709626385833424,75.18518518518519,18986.53823404273
344,44.709626385833424,75.92592592592592,18986.813246423437
212,44.709626385833424,76.66666666666666,18986.704862190527
345,44.709626385833424,77.4074074074074,18986.695674142953
346,44.709626385833424,78.14814814814814,18986.89062622015
213,44.709626385833424,78.88888888888889,18986.77949130017
347,44.709626385833424,79.62962962962963,18986.672760760353
751,44.709626385833424,80.37037037037037,18986.731281038854
51,45.25962248261119,51.481481481481474,18196.25748116261
52,45.25962248261119,52.222222222222214,18196.061056191276
53,45.25962248261119,52.962962962962955,18196.734530454734
54,45.25962248261119,53.7037037037037,18196.95287823805
55,45.25962248261119,54.444444444444436,18196.191412057204
56,45.25962248261119,55.185185185185176,18196.000672172348
57,45.25962248261119,55.925925925925924,18196.81276678841
58,45.25962248261119,56.66666666666666,18195.907547582014
59,45.25962248261119,59.629629629629626,18195.974469997585
348,45.25962248261119,60.37037037037036,18196.16530241041
349,45.25962248261119,61.11111111111111,18196.984180996697
350,45.25962248261119,61.85185185185185,18195.853459434875
351,45.25962248261119,62.59259259259258,18196.039560820413
352,45.25962248261119,63.33333333333333,18196.232627556878
353,45.25962248261119,64.07407407407408,18196.906115321923
354,45.25962248261119,64.81481481481481,18195.911589678144
355,45.25962248261119,65.55555555555556,18196.101963299676
356,45.25962248261119,66.29629629629629,18196.299454476262
357,45.25962248261119,67.03703703703702,18196.833370448323
358,45.25962248261119,67.77777777777777,18196.61393926781
359,45.25962248261119,68.51851851851852,18196.172731460072
360,45.25962248261119,69.25925925925925,18196.978322330717
361,45.25962248261119,70.0,18196.758023621573
362,45.25962248261119,70.74074074074075,18196.54297383487
363,45.25962248261119,71.48148148148147,18196.24109331396
364,45.25962248261119,72.22222222222221,18196.896315297578
365,45.25962248261119,72.96296296296296,18196.67728081072
366,45.25962248261119,73.7037037037037,18196.4689347675
367,45.25962248261119,74.44444444444444,18196.30391150486
368,45.25962248261119,75.18518518518519,18196.82633217622
369,45.25962248261119,75.92592592592592,18196.722673572556
370,45.25962248261119,76.66666666666666,18196.400184766404
371,45.25962248261119,77.4074074074074,18196.97259859083
372,45.25962248261119,78.14814814814814,18196.752665208653
373,45.25962248261119,78.88888888888889,18196.799355432027
374,45.25962248261119,79.62962962962963,18196.33070471062
752,45.25962248261119,80.37037037037037,18196.8881685246
753,45.25962248261119,81.11111111111111,18196.668396287714
754,45.25962248261119,81.85185185185185,18196.87434697771
755,45.25962248261119,82.59259259259258,18196.310044049867
60,45.809618579388975,52.962962962962955,17408.477124214638
