Point Number,Latitude (deg),Longitude (deg),Revisit Time (sec)
254,40.859653708389004,68.51851851851852,14412.51332570106
20,41.40964980516677,55.925925925925924,14433.28063864389
255,41.40964980516677,67.03703703703702,14430.256103565007
201,41.40964980516677,67.77777777777777,14431.370692753932
256,41.40964980516677,68.51851851851852,14431.13135599444
21,41.95964590194455,55.185185185185176,14451.379685709631
22,41.95964590194455,55.925925925925924,14451.882703563082
257,41.95964590194455,67.03703703703702,14448.895947836092
258,41.95964590194455,67.77777777777777,14449.997258413117
259,41.95964590194455,68.51851851851852,14449.760602264432
260,41.95964590194455,69.25925925925925,14450.546316484892
261,41.95964590194455,70.0,14451.376439606844
23,42.50964199872232,52.962962962962955,14467.670493915211
24,42.50964199872232,53.7037037037037,14468.401753888524
25,42.50964199872232,54.444444444444436,14470.082959674117
26,42.50964199872232,55.185185185185176,14470.000359725993
27,42.50964199872232,55.925925925925924,14470.496942489
262,42.50964199872232,66.29629629629629,14468.273319114902
263,42.50964199872232,67.03703703703702,14467.547236092869
264,42.50964199872232,67.77777777777777,14468.635493013426
265,42.50964199872232,68.51851851851852,14468.402953620389
266,42.50964199872232,69.25925925925925,14469.177572092332
267,42.50964199872232,70.0,14469.997121938068
268,42.50964199872232,70.74074074074075,14470.496687614068
269,42.50964199872232,79.62962962962963,14469.85038049848
2,43.0596380955001,52.222222222222214,14487.418288593297
28,43.0596380955001,52.962962962962955,14486.332012543455
29,43.0596380955001,53.7037037037037,14487.054599853873
3,43.0596380955001,54.444444444444436,14488.715183463944
30,43.0596380955001,55.185185185185176,14488.633482829813
31,43.0596380955001,55.925925925925924,14484.811150815192
270,43.0596380955001,66.29629629629629,14486.927927996876
271,43.0596380955001,67.03703703703702,14486.205585354626
202,43.0596380955001,67.77777777777777,14487.285800942918
272,43.0596380955001,68.51851851851852,14487.05580795891
273,43.0596380955001,69.25925925925925,14487.82104270524
193,43.0596380955001,70.0,14488.630252470615
274,43.0596380955001,70.74074074074075,14487.449116680073
275,43.0596380955001,71.48148148148147,14488.288240397276
203,43.0596380955001,72.22222222222221,14489.070128033462
276,43.0596380955001,72.96296296296296,14488.680815174128
277,43.0596380955001,75.18518518518519,14486.378909644292
278,43.0596380955001,75.92592592592592,14486.158828890068
194,43.0596380955001,76.66666666666666,14486.876785792585
279,43.0596380955001,77.4074074074074,14487.633059166401
280,43.0596380955001,78.14814814814814,14488.430094286596
204,43.0596380955001,78.88888888888889,14484.700414592953
281,43.0596380955001,79.62962962962963,14488.485604294518
749,43.0596380955001,80.37037037037037,14488.863836573611
32,43.609634192277866,51.481481481481474,14505.593928807764
33,43.609634192277866,52.222222222222214,14506.079249856339
34,43.609634192277866,52.962962962962955,14505.005797153804
35,43.609634192277866,53.7037037037037,14505.719880357268
36,43.609634192277866,54.444444444444436,14507.360282982307
37,43.609634192277866,55.185185185185176,14507.279469762725
38,43.609634192277866,55.925925925925924,14503.501983412076
282,43.609634192277866,61.85185185185185,14505.542769704247
283,43.609634192277866,62.59259259259258,14507.560261195875
284,43.609634192277866,64.07407407407408,14503.391371561273
285,43.609634192277866,65.55555555555556,14507.512182610575
286,43.609634192277866,66.29629629629629,14505.594919995929
287,43.609634192277866,67.03703703703702,14504.880810898707
288,43.609634192277866,67.77777777777777,14505.948580965167
289,43.609634192277866,68.51851851851852,14505.721097334928
290,43.609634192277866,69.25925925925925,14506.477145109995
291,43.609634192277866,70.0,14507.276247246791
292,43.609634192277866,70.74074074074075,14506.109707944735
293,43.609634192277866,71.48148148148147,14506.938743856503
294,43.609634192277866,72.22222222222221,14503.541186736373
295,43.609634192277866,72.96296296296296,14507.326332330063
296,43.609634192277866,73.7037037037037,14506.52865512413
297,43.609634192277866,74.44444444444444,14505.771171468834
298,43.609634192277866,75.18518518518519,14505.05231008309
299,43.609634192277866,75.92592592592592,14504.834544038808
300,43.609634192277866,76.66666666666666,14505.544189213135
301,43.609634192277866,77.4074074074074,14506.291459262837
302,43.609634192277866,78.14814814814814,14507.07861034623
303,43.609634192277866,78.88888888888889,14503.392489623424
304,43.609634192277866,79.62962962962963,14507.133641787252
750,43.609634192277866,80.37037037037037,14507.50681917771
39,44.15963028905565,51.481481481481474,14524.27377008152
40,44.15963028905565,52.222222222222214,14524.753150245437
41,44.15963028905565,52.962962962962955,14523.692261029151
42,44.15963028905565,53.7037037037037,14524.398010202101
43,44.15963028905565,54.444444444444436,14526.018677903252
44,44.15963028905565,55.185185185185176,14525.938738954312
45,44.15963028905565,55.925925925925924,14522.205189745524
305,44.15963028905565,61.85185185185185,14524.22297077591
306,44.15963028905565,62.59259259259258,14524.96451742365
307,44.15963028905565,63.33333333333333,14525.74418347393
308,44.15963028905565,64.07407407407408,14522.095844858268
309,44.15963028905565,64.81481481481481,14525.790344420064
310,44.15963028905565,65.55555555555556,14525.013144163415
311,44.15963028905565,66.29629629629629,14524.274719103647
312,44.15963028905565,67.03703703703702,14523.56868601992
313,44.15963028905565,67.77777777777777,14524.624250472756
314,44.15963028905565,68.51851851851852,14524.399234371172
315,44.15963028905565,69.25925925925925,14525.146292976307
316,44.15963028905565,70.0,14525.935522025738
317,44.15963028905565,70.74074074074075,14524.783246222127
318,44.15963028905565,71.48148148148147,14525.602405808415
319,44.15963028905565,72.22222222222221,14522.244030555827
320,44.15963028905565,72.96296296296296,14525.985128278844
321,44.15963028905565,73.7037037037037,14525.197372704162
322,44.15963028905565,74.44444444444444,14524.448901748663
323,44.15963028905565,75.18518518518519,14523.73356702982
324,44.15963028905565,75.92592592592592,14523.522899515345
325,44.15963028905565,76.66666666666666,14524.22439547599
326,44.15963028905565,77.4074074074074,14524.962854203477
