Point Number,Latitude (deg),Longitude (deg),Area
0,48.00960296650007,49.99999999999999,3365.0570545883365
1,48.00960296650007,56.66666666666666,3365.0570545883365
2,43.0596380955001,52.222222222222214,3677.219599288741
3,43.0596380955001,54.444444444444436,3677.219599288741
4,44.709626385833424,52.222222222222214,3576.0622551634974
5,44.709626385833424,54.444444444444436,3576.0622551634974
6,46.35961467616674,54.444444444444436,3471.9781869562225
7,46.35961467616674,56.66666666666666,3471.9781869562225
8,46.35961467616674,58.888888888888886,3471.978186956163
9,48.00960296650007,47.77777777777777,3365.0570545883365
10,48.00960296650007,52.222222222222214,3365.0570545883365
11,48.00960296650007,54.444444444444436,3365.0570545883365
12,48.00960296650007,58.888888888888886,3365.0570545882783
13,49.659591256833394,47.77777777777777,3255.3905590690697
14,49.659591256833394,49.99999999999999,3255.3905590690697
15,49.659591256833394,52.222222222222214,3255.3905590690697
16,49.659591256833394,54.444444444444436,3255.3905590690697
17,49.659591256833394,56.66666666666666,3255.3905590690697
18,49.659591256833394,58.888888888888886,3255.3905590690138
19,51.30957954716671,52.222222222222214,3143.072343362112
20,41.40964980516677,55.925925925925924,3775.3627002143426
21,41.95964590194455,55.185185185185176,3742.988560448293
22,41.95964590194455,55.925925925925924,3742.988560448293
23,42.50964199872232,52.962962962962955,3710.27314051736
24,42.50964199872232,53.7037037037037,3710.27314051736
25,42.50964199872232,54.444444444444436,3710.27314051736
26,42.50964199872232,55.185185185185176,3710.27314051736
27,42.50964199872232,55.925925925925924,3710.27314051736
28,43.0596380955001,52.962962962962955,3677.219599288741
29,43.0596380955001,53.7037037037037,3677.219599288741
30,43.0596380955001,55.185185185185176,3677.219599288741
31,43.0596380955001,55.925925925925924,3677.219599288741
32,43.609634192277866,51.481481481481474,3643.8311237060784
33,43.609634192277866,52.222222222222214,3643.8311237060784
34,43.609634192277866,52.962962962962955,3643.8311237060784
35,43.609634192277866,53.7037037037037,3643.8311237060784
36,43.609634192277866,54.444444444444436,3643.8311237060784
37,43.609634192277866,55.185185185185176,3643.8311237060784
38,43.609634192277866,55.925925925925924,3643.8311237060784
39,44.15963028905565,51.481481481481474,3610.11092837747
40,44.15963028905565,52.222222222222214,3610.11092837747
41,44.15963028905565,52.962962962962955,3610.11092837747
42,44.15963028905565,53.7037037037037,3610.11092837747
43,44.15963028905565,54.444444444444436,3610.11092837747
44,44.15963028905565,55.185185185185176,3610.11092837747
45,44.15963028905565,55.925925925925924,3610.11092837747
46,44.709626385833424,51.481481481481474,3576.0622551634974
47,44.709626385833424,52.962962962962955,3576.0622551634974
48,44.709626385833424,53.7037037037037,3576.0622551634974
49,44.709626385833424,55.185185185185176,3576.0622551634974
50,44.709626385833424,55.925925925925924,3576.0622551634974
51,45.25962248261119,51.481481481481474,3541.6883727653963
52,45.25962248261119,52.222222222222214,3541.6883727653963
53,45.25962248261119,52.962962962962955,3541.6883727653963
54,45.25962248261119,53.7037037037037,3541.6883727653963
55,45.25962248261119,54.444444444444436,3541.6883727653963
56,45.25962248261119,55.185185185185176,3541.6883727653963
57,45.25962248261119,55.925925925925924,3541.6883727653963
58,45.25962248261119,56.66666666666666,3541.6883727653963
59,45.25962248261119,59.629629629629626,3541.6883727653344
60,45.809618579388975,52.962962962962955,3506.9925763135193
61,45.809618579388975,53.7037037037037,3506.9925763135193
62,45.809618579388975,54.444444444444436,3506.9925763135193
63,45.809618579388975,55.185185185185176,3506.9925763135193
64,45.809618579388975,55.925925925925924,3506.9925763135193
65,45.809618579388975,56.66666666666666,3506.9925763135193
66,45.809618579388975,57.407407407407405,3506.992576313489
67,45.809618579388975,58.14814814814814,3506.9925763134584
68,45.809618579388975,58.888888888888886,3506.9925763134584
69,45.809618579388975,59.629629629629626,3506.9925763134584
70,46.35961467616674,53.7037037037037,3471.9781869562225
71,46.35961467616674,55.185185185185176,3471.9781869562225
72,46.35961467616674,55.925925925925924,3471.9781869562225
73,46.35961467616674,57.407407407407405,3471.978186956193
74,46.35961467616674,58.14814814814814,3471.978186956163
75,46.35961467616674,59.629629629629626,3471.978186956163
76,46.90961077294452,49.25925925925925,3436.6485514492947
77,46.90961077294452,49.99999999999999,3436.6485514492947
78,46.90961077294452,50.74074074074073,3436.6485514492947
79,46.90961077294452,52.222222222222214,3436.6485514492947
80,46.90961077294452,53.7037037037037,3436.6485514492947
81,46.90961077294452,54.444444444444436,3436.6485514492947
82,46.90961077294452,55.185185185185176,3436.6485514492947
83,46.90961077294452,55.925925925925924,3436.6485514492947
84,46.90961077294452,56.66666666666666,3436.6485514492947
85,46.90961077294452,57.407407407407405,3436.648551449266
86,46.90961077294452,58.14814814814814,3436.6485514492356
87,46.90961077294452,58.888888888888886,3436.6485514492356
88,46.90961077294452,59.629629629629626,3436.6485514492356
89,47.45960686972229,48.51851851851851,3401.007041746068
90,47.45960686972229,49.25925925925925,3401.007041746068
91,47.45960686972229,49.99999999999999,3401.007041746068
92,47.45960686972229,50.74074074074073,3401.007041746068
93,47.45960686972229,51.481481481481474,3401.007041746068
94,47.45960686972229,52.222222222222214,3401.007041746068
95,47.45960686972229,52.962962962962955,3401.007041746068
96,47.45960686972229,53.7037037037037,3401.007041746068
97,47.45960686972229,54.444444444444436,3401.007041746068
98,47.45960686972229,55.185185185185176,3401.007041746068
99,47.45960686972229,55.925925925925924,3401.007041746068
100,47.45960686972229,56.66666666666666,3401.007041746068
101,47.45960686972229,57.407407407407405,3401.007041746039
102,47.45960686972229,58.14814814814814,3401.0070417460092
103,47.45960686972229,58.888888888888886,3401.0070417460092
104,47.45960686972229,59.629629629629626,3401.0070417460092
105,48.00960296650007,48.51851851851851,3365.0570545883365
106,48.00960296650007,49.25925925925925,3365.0570545883365
107,48.00960296650007,50.74074074074073,3365.0570545883365
108,48.00960296650007,51.481481481481474,3365.0570545883365
109,48.00960296650007,52.962962962962955,3365.0570545883365
110,48.00960296650007,53.7037037037037,3365.0570545883365
111,48.00960296650007,55.185185185185176,3365.0570545883365
112,48.00960296650007,55.925925925925924,3365.0570545883365
113,48.00960296650007,57.407407407407405,3365.0570545883074
114,48.00960296650007,58.14814814814814,3365.0570545882783
115,48.00960296650007,59.629629629629626,3365.0570545882783
116,48.55959906327784,47.03703703703703,3328.802011098192
117,48.55959906327784,47.77777777777777,3328.802011098192
118,48.55959906327784,48.51851851851851,3328.802011098192
119,48.55959906327784,49.25925925925925,3328.802011098192
120,48.55959906327784,49.99999999999999,3328.802011098192
121,48.55959906327784,50.74074074074073,3328.802011098192
122,48.55959906327784,51.481481481481474,3328.802011098192
123,48.55959906327784,52.222222222222214,3328.802011098192
124,48.55959906327784,52.962962962962955,3328.802011098192
125,48.55959906327784,53.7037037037037,3328.802011098192
126,48.55959906327784,54.444444444444436,3328.802011098192
127,48.55959906327784,55.185185185185176,3328.802011098192
128,48.55959906327784,55.925925925925924,3328.802011098192
129,48.55959906327784,56.66666666666666,3328.802011098192
130,48.55959906327784,57.407407407407405,3328.8020110981624
131,48.55959906327784,58.14814814814814,3328.8020110981347
132,48.55959906327784,58.888888888888886,3328.8020110981347
133,48.55959906327784,59.629629629629626,3328.8020110981347
134,49.10959516005562,47.03703703703703,3292.2453563709237
135,49.10959516005562,47.77777777777777,3292.2453563709237
136,49.10959516005562,48.51851851851851,3292.2453563709237
137,49.10959516005562,49.25925925925925,3292.2453563709237
138,49.10959516005562,49.99999999999999,3292.2453563709237
139,49.10959516005562,50.74074074074073,3292.2453563709237
140,49.10959516005562,51.481481481481474,3292.2453563709237
141,49.10959516005562,52.222222222222214,3292.2453563709237
142,49.10959516005562,52.962962962962955,3292.2453563709237
143,49.10959516005562,53.7037037037037,3292.2453563709237
144,49.10959516005562,54.444444444444436,3292.2453563709237
145,49.10959516005562,55.185185185185176,3292.2453563709237
146,49.10959516005562,55.925925925925924,3292.2453563709237
147,49.10959516005562,56.66666666666666,3292.2453563709237
148,49.10959516005562,57.407407407407405,3292.2453563708955
149,49.10959516005562,58.14814814814814,3292.245356370867
150,49.10959516005562,58.888888888888886,3292.245356370867
151,49.10959516005562,59.629629629629626,3292.245356370867
152,49.659591256833394,47.03703703703703,3255.3905590690697
153,49.659591256833394,48.51851851851851,3255.3905590690697
154,49.659591256833394,49.25925925925925,3255.3905590690697
155,49.659591256833394,50.74074074074073,3255.3905590690697
156,49.659591256833394,51.481481481481474,3255.3905590690697
157,49.659591256833394,52.962962962962955,3255.3905590690697
158,49.659591256833394,53.7037037037037,3255.3905590690697
159,49.659591256833394,55.185185185185176,3255.3905590690697
160,49.659591256833394,55.925925925925924,3255.3905590690697
161,49.659591256833394,57.407407407407405,3255.390559069042
162,49.659591256833394,58.14814814814814,3255.3905590690138
163,49.659591256833394,59.629629629629626,3255.3905590690138
164,50.20958735361116,47.77777777777777,3218.241111017758
165,50.20958735361116,49.25925925925925,3218.241111017758
166,50.20958735361116,49.99999999999999,3218.241111017758
167,50.20958735361116,50.74074074074073,3218.241111017758
168,50.20958735361116,51.481481481481474,3218.241111017758
169,50.20958735361116,52.222222222222214,3218.241111017758
170,50.20958735361116,52.962962962962955,3218.241111017758
171,50.20958735361116,53.7037037037037,3218.241111017758
172,50.20958735361116,54.444444444444436,3218.241111017758
173,50.20958735361116,55.185185185185176,3218.241111017758
174,50.20958735361116,55.925925925925924,3218.241111017758
175,50.20958735361116,56.66666666666666,3218.241111017758
176,50.20958735361116,57.407407407407405,3218.2411110177304
177,50.20958735361116,58.14814814814814,3218.241111017703
178,50.20958735361116,58.888888888888886,3218.241111017703
179,50.20958735361116,59.629629629629626,3218.241111017703
180,50.759583450388945,49.25925925925925,3180.8005268014367
181,50.759583450388945,49.99999999999999,3180.8005268014367
182,50.759583450388945,50.74074074074073,3180.8005268014367
183,50.759583450388945,51.481481481481474,3180.8005268014367
184,50.759583450388945,52.222222222222214,3180.8005268014367
185,50.759583450388945,52.962962962962955,3180.8005268014367
186,50.759583450388945,53.7037037037037,3180.8005268014367
187,50.759583450388945,56.66666666666666,3180.8005268014367
188,50.759583450388945,57.407407407407405,3180.8005268014094
189,50.759583450388945,58.14814814814814,3180.800526801382
190,51.30957954716671,50.74074074074073,3143.072343362112
191,51.30957954716671,51.481481481481474,3143.072343362112
192,51.30957954716671,52.962962962962955,3143.072343362112
193,43.0596380955001,70.0,3677.2195992886777
194,43.0596380955001,76.66666666666666,3677.2195992886777
195,48.00960296650007,63.33333333333333,3365.0570545882783
196,48.00960296650007,70.0,3365.0570545882783
197,48.00960296650007,76.66666666666666,3365.0570545882783
198,52.95956783750004,63.33333333333333,3028.197894098334
199,52.95956783750004,70.0,3028.197894098334
200,52.95956783750004,76.66666666666666,3028.197894098334
201,41.40964980516677,67.77777777777777,3775.362700214277
202,43.0596380955001,67.77777777777777,3677.2195992886777
203,43.0596380955001,72.22222222222221,3677.2195992886777
204,43.0596380955001,78.88888888888889,3677.2195992886777
205,44.709626385833424,61.11111111111111,3576.062255163436
206,44.709626385833424,63.33333333333333,3576.062255163436
207,44.709626385833424,65.55555555555556,3576.062255163436
208,44.709626385833424,67.77777777777777,3576.062255163436
209,44.709626385833424,70.0,3576.062255163436
210,44.709626385833424,72.22222222222221,3576.062255163436
211,44.709626385833424,74.44444444444444,3576.062255163436
212,44.709626385833424,76.66666666666666,3576.062255163436
213,44.709626385833424,78.88888888888889,3576.062255163436
214,46.35961467616674,61.11111111111111,3471.978186956163
215,46.35961467616674,63.33333333333333,3471.978186956163
216,46.35961467616674,65.55555555555556,3471.978186956163
217,46.35961467616674,67.77777777777777,3471.978186956163
218,46.35961467616674,70.0,3471.978186956163
219,46.35961467616674,72.22222222222221,3471.978186956163
220,46.35961467616674,74.44444444444444,3471.978186956163
221,46.35961467616674,76.66666666666666,3471.978186956163
222,46.35961467616674,78.88888888888889,3471.978186956163
223,48.00960296650007,61.11111111111111,3365.0570545882783
224,48.00960296650007,65.55555555555556,3365.0570545882783
225,48.00960296650007,67.77777777777777,3365.0570545882783
226,48.00960296650007,72.22222222222221,3365.0570545882783
227,48.00960296650007,74.44444444444444,3365.0570545882783
228,48.00960296650007,78.88888888888889,3365.0570545882783
229,49.659591256833394,61.11111111111111,3255.3905590690138
230,49.659591256833394,63.33333333333333,3255.3905590690138
231,49.659591256833394,65.55555555555556,3255.3905590690138
232,49.659591256833394,67.77777777777777,3255.3905590690138
233,49.659591256833394,70.0,3255.3905590690138
234,49.659591256833394,72.22222222222221,3255.3905590690138
235,49.659591256833394,74.44444444444444,3255.3905590690138
236,49.659591256833394,76.66666666666666,3255.3905590690138
237,49.659591256833394,78.88888888888889,3255.3905590690138
238,51.30957954716671,63.33333333333333,3143.072343362058
239,51.30957954716671,65.55555555555556,3143.072343362058
240,51.30957954716671,67.77777777777777,3143.072343362058
241,51.30957954716671,70.0,3143.072343362058
242,51.30957954716671,72.22222222222221,3143.072343362058
243,51.30957954716671,74.44444444444444,3143.072343362058
244,51.30957954716671,76.66666666666666,3143.072343362058
245,51.30957954716671,78.88888888888889,3143.072343362058
246,52.95956783750004,61.11111111111111,3028.197894098334
247,52.95956783750004,65.55555555555556,3028.197894098334
248,52.95956783750004,67.77777777777777,3028.197894098334
249,52.95956783750004,72.22222222222221,3028.197894098334
250,52.95956783750004,74.44444444444444,3028.197894098334
251,54.609556127833365,65.55555555555556,2910.8644443802345
252,54.609556127833365,67.77777777777777,2910.8644443802345
253,54.609556127833365,70.0,2910.8644443802345
254,40.859653708389004,68.51851851851852,3807.3924294365665
255,41.40964980516677,67.03703703703702,3775.362700214277
256,41.40964980516677,68.51851851851852,3775.362700214277
257,41.95964590194455,67.03703703703702,3742.9885604482274
258,41.95964590194455,67.77777777777777,3742.9885604482274
259,41.95964590194455,68.51851851851852,3742.9885604482274
260,41.95964590194455,69.25925925925925,3742.9885604482274
261,41.95964590194455,70.0,3742.9885604482274
262,42.50964199872232,66.29629629629629,3710.2731405172963
263,42.50964199872232,67.03703703703702,3710.2731405172963
264,42.50964199872232,67.77777777777777,3710.2731405172963
265,42.50964199872232,68.51851851851852,3710.2731405172963
266,42.50964199872232,69.25925925925925,3710.2731405172963
267,42.50964199872232,70.0,3710.2731405172963
268,42.50964199872232,70.74074074074075,3710.2731405172963
269,42.50964199872232,79.62962962962963,3710.2731405172963
270,43.0596380955001,66.29629629629629,3677.2195992886777
271,43.0596380955001,67.03703703703702,3677.2195992886777
272,43.0596380955001,68.51851851851852,3677.2195992886777
273,43.0596380955001,69.25925925925925,3677.2195992886777
274,43.0596380955001,70.74074074074075,3677.2195992886777
275,43.0596380955001,71.48148148148147,3677.2195992886777
276,43.0596380955001,72.96296296296296,3677.2195992886777
277,43.0596380955001,75.18518518518519,3677.2195992886777
278,43.0596380955001,75.92592592592592,3677.2195992886777
279,43.0596380955001,77.4074074074074,3677.2195992886777
280,43.0596380955001,78.14814814814814,3677.2195992886777
281,43.0596380955001,79.62962962962963,3677.2195992886777
282,43.609634192277866,61.85185185185185,3643.831123706016
283,43.609634192277866,62.59259259259258,3643.831123706016
284,43.609634192277866,64.07407407407408,3643.831123706016
285,43.609634192277866,65.55555555555556,3643.831123706016
286,43.609634192277866,66.29629629629629,3643.831123706016
287,43.609634192277866,67.03703703703702,3643.831123706016
288,43.609634192277866,67.77777777777777,3643.831123706016
289,43.609634192277866,68.51851851851852,3643.831123706016
290,43.609634192277866,69.25925925925925,3643.831123706016
291,43.609634192277866,70.0,3643.831123706016
292,43.609634192277866,70.74074074074075,3643.831123706016
293,43.609634192277866,71.48148148148147,3643.831123706016
294,43.609634192277866,72.22222222222221,3643.831123706016
295,43.609634192277866,72.96296296296296,3643.831123706016
296,43.609634192277866,73.7037037037037,3643.831123706016
297,43.609634192277866,74.44444444444444,3643.831123706016
298,43.609634192277866,75.18518518518519,3643.831123706016
299,43.609634192277866,75.92592592592592,3643.831123706016
300,43.609634192277866,76.66666666666666,3643.831123706016
301,43.609634192277866,77.4074074074074,3643.831123706016
302,43.609634192277866,78.14814814814814,3643.831123706016
303,43.609634192277866,78.88888888888889,3643.831123706016
304,43.609634192277866,79.62962962962963,3643.831123706016
305,44.15963028905565,61.85185185185185,3610.110928377408
306,44.15963028905565,62.59259259259258,3610.110928377408
307,44.15963028905565,63.33333333333333,3610.110928377408
308,44.15963028905565,64.07407407407408,3610.110928377408
309,44.15963028905565,64.81481481481481,3610.110928377408
310,44.15963028905565,65.55555555555556,3610.110928377408
311,44.15963028905565,66.29629629629629,3610.110928377408
312,44.15963028905565,67.03703703703702,3610.110928377408
313,44.15963028905565,67.77777777777777,3610.110928377408
314,44.15963028905565,68.51851851851852,3610.110928377408
315,44.15963028905565,69.25925925925925,3610.110928377408
316,44.15963028905565,70.0,3610.110928377408
317,44.15963028905565,70.74074074074075,3610.110928377408
318,44.15963028905565,71.48148148148147,3610.110928377408
319,44.15963028905565,72.22222222222221,3610.110928377408
320,44.15963028905565,72.96296296296296,3610.110928377408
321,44.15963028905565,73.7037037037037,3610.110928377408
322,44.15963028905565,74.44444444444444,3610.110928377408
323,44.15963028905565,75.18518518518519,3610.110928377408
324,44.15963028905565,75.92592592592592,3610.110928377408
325,44.15963028905565,76.66666666666666,3610.110928377408
326,44.15963028905565,77.4074074074074,3610.110928377408
327,44.15963028905565,78.14814814814814,3610.110928377408
328,44.15963028905565,78.88888888888889,3610.110928377408
329,44.15963028905565,79.62962962962963,3610.110928377408
330,44.709626385833424,60.37037037037036,3576.062255163436
331,44.709626385833424,61.85185185185185,3576.062255163436
332,44.709626385833424,62.59259259259258,3576.062255163436
333,44.709626385833424,64.07407407407408,3576.062255163436
334,44.709626385833424,64.81481481481481,3576.062255163436
335,44.709626385833424,66.29629629629629,3576.062255163436
336,44.709626385833424,67.03703703703702,3576.062255163436
337,44.709626385833424,68.51851851851852,3576.062255163436
338,44.709626385833424,69.25925925925925,3576.062255163436
